alpha_deg,cl,cd,cm,Re,mean_yplus,t0,t1,k,omega,epsilon,nut,z_turbulence,OpenFOAM_build
0.0,1.4506812631017232e-06,0.01834129055666004,2.9656717123923128e-06,200000.0,4.91746,20.0,29.99731,0.00639377,23.2807,0.01339662971151,0.000274644,-0.02,
1.0,0.09401815169799092,0.01842462966947505,0.002626815206092029,200000.0,4.910880000000001,20.0,29.99728,0.00666906,22.1342,0.013285287706679999,0.000301321,8.68446e-17,
2.0,0.1873759575142676,0.018717748363982246,0.005303919187064046,200000.0,4.89569,20.0,30.002440000000004,0.00684218,22.3266,0.013748635438920001,0.000306448,-0.01,
3.0,0.28007517902529305,0.019218862048118446,0.008003351022825416,200000.0,4.875290000000001,20.0,29.99792,0.00713829,21.2299,0.01363906645839,0.000336243,-0.03,
4.0,0.3718349667049369,0.019954551446613088,0.010687444764638348,200000.0,4.84431,20.0,30.000020000000003,0.00763233,21.3803,0.014686335458909997,0.000356975,-0.04,
5.0,0.4622621342765617,0.020945085568606515,0.013359182925787508,200000.0,4.802309999999999,20.0,29.997970000000002,0.00797708,21.2319,0.015243170836679996,0.000375701,-0.05,
6.0,0.550597982111001,0.022203959217046574,0.016039397165510404,200000.0,4.74881,20.0,29.99778,0.00879976,20.3443,0.01611224616312,0.00043254,-0.07,
7.0,0.6364526825206992,0.023781314673413063,0.018679851743330266,199999.99999999997,4.6851,20.0,30.00115,0.00968945,20.2067,0.017621262838350003,0.000479508,-0.08,2.4.x-2b147f41daf9
8.0,0.7184122909558509,0.02575217016716674,0.02132375468924132,199999.99999999997,4.60928,20.0,30.00172,0.0107166,19.9148,0.0192077051112,0.000538112,-0.09,2.4.x-2b147f41daf9
9.0,0.7948131404084903,0.028249530977172612,0.023945444365238284,199999.99999999997,4.52204,20.0,29.99992,0.0120891,19.5053,0.021222137000699998,0.0006197780000000001,-0.1,2.4.x-2b147f41daf9
10.0,0.8633549158724203,0.03145971323076924,0.026437793684803,199999.99999999997,4.42658,20.0,30.00153,0.0140184,18.9759,0.023941058090399998,0.0007387460000000001,-0.11,2.4.x-2b147f41daf9
11.0,0.9205349287889519,0.03575607082152975,0.02853968004603399,199999.99999999997,4.32845,20.0,29.99998,0.016743200000000003,18.2741,0.027537022000800007,0.0009162360000000001,-0.12,2.4.x-2b147f41daf9
12.0,0.9598871557504215,0.041825315571669484,0.029702698347386168,199999.99999999997,4.23726,20.0,30.00069,0.020601400000000002,17.7557,0.03292130501820001,0.00116031,-0.12,2.4.x-2b147f41daf9
