alpha_deg,cl,cd,cm,Re,mean_yplus,t0,t1,k,omega,epsilon,nut,z_turbulence
0.0,1.1382843757575756e-05,0.02125404226010101,1.0456628738005051e-06,200000.0,4.80045,20.0,30.00139,0.00814359,22.087,0.016188072509700002,0.00036873,-0.02
1.0,0.07515463034076827,0.021336511864931847,0.005763679897149938,200000.0,4.7969599999999994,20.0,30.000459999999997,0.00812635,20.3938,0.014915444096699997,0.000398476,8.68446e-17
2.0,0.15009644332723948,0.021635458446069462,0.011433372583790373,200000.0,4.79139,20.0,29.998379999999997,0.00858206,20.453,0.0157975985862,0.0004196000000000001,-0.01
3.0,0.2258868510778443,0.022162873886227542,0.016725167257485032,200000.0,4.7874,20.0,29.99751,0.00913104,20.3947,0.01676023393392,0.00044772,-0.02
4.0,0.30236992361601883,0.02293566806831567,0.02155372363957597,200000.0,4.77529,20.0,30.00021,0.00974759,20.2216,0.01774006793496,0.000482036,-0.03
5.0,0.3787602205558772,0.02399472314418066,0.0259309946149392,200000.0,4.7549,20.0,29.99966,0.010493,19.9602,0.018849814074,0.000525677,-0.04
6.0,0.4538404629587804,0.02540177628458498,0.029890241609260307,200000.0,4.725630000000001,20.0,30.001720000000002,0.0114426,19.6205,0.020205857997,0.000583165,-0.05
7.0,0.5263311225527312,0.027233068015143327,0.033436807906976736,200000.0,4.689369999999999,20.0,29.9978,0.0126934,19.2121,0.021948018312599998,0.000660667,-0.06
8.0,0.594500125531915,0.02962206252724442,0.03655439667877529,200000.0,4.64815,20.0,30.001759999999997,0.0143723,18.7291,0.0242262219537,0.000767366,-0.07
9.0,0.6561730939800996,0.032761742189054734,0.03916054227860696,200000.0,4.60513,20.0,29.9995,0.016604,18.1577,0.027134140572,0.000914435,-0.08
10.0,0.7081524556247007,0.0369546319530876,0.04108687548109143,200000.0,4.56418,20.0,29.99904,0.0195208,17.4779,0.030706433128800007,0.00111686,-0.09
11.0,0.7459962990277779,0.04274735946296297,0.04200850641203704,200000.0,4.52683,20.0,29.9992,0.0236642,17.0624,0.0363391241472,0.00138695,-0.09
12.0,0.7633329953929539,0.05091570256549232,0.04148639032068655,200000.0,4.492380000000001,20.0,29.99987,0.029447700000000007,16.3977,0.0434587095261,0.00179602,-0.09
13.0,0.7538842934521157,0.06252917227171491,0.03892099028507795,200000.0,4.4625699999999995,20.0,30.00102,0.0376364,15.7755,0.053435972538000004,0.00238668,-0.08
14.0,0.7154871268032057,0.07850057445235976,0.033789894145146916,200000.0,4.43168,20.0,29.997909999999997,0.0486318,14.8255,0.06488916758100001,0.00328387,-0.07
15.0,0.6572847458276951,0.09894666305367614,0.026068146418583675,200000.0,4.38619,20.0,30.001920000000002,0.061344,13.8334,0.076373648064,0.00444433,-0.05
16.0,0.5987583202764977,0.1231716070967742,0.01650812016589862,200000.0,4.3226,20.0,30.00122,0.0729783,13.4146,0.0881077232862,0.00542883,-0.02
17.0,0.5522199465411766,0.15213361298823527,0.004896259654588236,200000.0,4.24451,20.0,30.00035,0.0750901,12.6596,0.0855549566964,0.00591294,8.67362e-17
18.0,0.4963836506235566,0.18612931191685916,-0.0068235351727482674,200000.0,4.14755,20.0,29.99928,0.08113519999999999,11.5905,0.08463577820399999,0.00692257,8.67362e-17
19.0,0.5133120802179657,0.2392899005614267,-0.029696840274108318,200000.0,4.129,20.0,30.000970000000002,0.0769812,11.8479,0.08208590035319999,0.00639576,8.586879999999997e-17
20.0,0.5977615727974448,0.2916037948895396,-0.0527489562416822,200000.0,4.20181,20.0,30.000290000000003,0.0571415,11.2158,0.057679887213000006,0.00498205,8.67362e-17
21.0,0.5338339948145915,0.2870973484775399,-0.041709405082906235,200000.0,4.0416,20.0,29.9991,0.07788669999999999,11.1498,0.0781579014894,0.00678639,8.67362e-17
22.0,0.5038321811208406,0.29154032224168125,-0.0368069716357268,200000.0,3.8986099999999997,20.0,29.99868,0.08049110000000001,10.3217,0.0747724488183,0.00775997,8.67362e-17
23.0,0.4953827449554896,0.3005359573813056,-0.03599698520400593,200000.0,3.82142,20.0,30.00105,0.08520019999999999,15.6877,0.12029356597859996,0.00521447,-0.25
24.0,0.5057977911994059,0.31667773297437796,-0.03966090031563313,200000.0,3.7509,20.0,29.99845,0.08586,16.1242,0.12459814308,0.00501818,-0.28
25.0,0.5219565445989305,0.3353701730124777,-0.044374125672014264,200000.0,3.6860000000000004,20.0,29.998440000000002,0.0852513,15.9415,0.1223130239055,0.00502309,-0.3
26.0,0.5413610673873873,0.3566087261261261,-0.0498827047027027,199999.99999999997,3.63605,20.0,30.00103,0.0842758,15.4089,0.1168737637158,0.00507402,-0.32
27.0,0.5915342380889621,0.3916578629983525,-0.06140805690939044,199999.99999999997,3.59341,20.0,30.00038,0.0802418,8.86411,0.06401449276182,0.00977209,8.84709e-17
28.0,0.9548025395580588,0.6202965612651646,-0.17909306056109187,199999.99999999997,3.91224,20.0,29.99932,0.0521529,11.5661,0.05428850910210001,0.00431093,-0.22
29.0,0.7170593789244974,0.4809476872080391,-0.09077658100217273,199999.99999999997,3.56469,20.0,30.00156,0.0782951,9.84928,0.06940353262752,0.00813671,8.673620000000001e-17
30.0,0.87385533334055,0.5919086197878328,-0.13564902625460054,199999.99999999997,3.75949,20.0,29.99943,0.0575112,11.7913,0.06103186313039999,0.004767100000000001,-0.24
